"Four-Year Graduation Rates, 2018-19"
"All Districts, All Students"

"",,,"Graduates",
"Plainville School District","=""1100011""",186,172,92.5
"Plymouth School District","=""1110011""",125,115,92.0
"Portland School District","=""1130011""",105,95,90.5
"Putnam School District","=""1160011""",92,84,91.3
"Regional School District 01","=""2010012""",116,109,94.0
"Regional School District 04","=""2040012""",149,137,91.9
"Regional School District 05","=""2050012""",358,345,96.4
"Regional School District 06","=""2060012""",89,87,97.8
"Regional School District 07","=""2070012""",202,189,93.6
"Regional School District 08","=""2080012""",234,220,94.0
"Regional School District 09","=""2090012""",235,227,96.6
"Regional School District 10","=""2100012""",198,191,96.5
"Regional School District 11","=""2110012""",42,40,95.2
"Regional School District 12","=""2120012""",67,64,95.5
"Regional School District 13","=""2130012""",140,136,97.1
"Regional School District 14","=""2140012""",194,189,97.4
"Regional School District 15","=""2150012""",308,297,96.4
"Regional School District 16","=""2160012""",171,159,93.0
"Regional School District 17","=""2170012""",160,157,98.1
"Regional School District 18","=""2180012""",114,113,99.1
"Regional School District 19","=""2190012""",292,269,92.1
"Ridgefield School District","=""1180011""",398,380,95.5
"Rocky Hill School District","=""1190011""",190,178,93.7
"Seymour School District","=""1240011""",179,157,87.7
"Shelton School District","=""1260011""",378,342,90.5
"Simsbury School District","=""1280011""",371,349,94.1
"Somers School District","=""1290011""",131,121,92.4
"South Windsor School District","=""1320011""",322,296,91.9
"Southington School District","=""1310011""",474,441,93.0
"Stafford School District","=""1340011""",96,93,96.9
"Stamford Academy District","=""2820013""",79,31,39.2
"Stamford School District","=""1350011""",1157,1004,86.8
"Stonington School District","=""1370011""",177,160,90.4
"Stratford School District","=""1380011""",520,479,92.1
"Suffield School District","=""1390011""",210,200,95.2
"The Bridge Academy District","=""2690013""",35,26,74.3
"The Gilbert School District","=""9020022""",124,115,92.7
"The Woodstock Academy District","=""9030022""",316,306,96.8
"Thomaston School District","=""1400011""",71,66,93.0
"Thompson School District","=""1410011""",72,60,83.3
"Tolland School District","=""1420011""",199,194,97.5
"Torrington School District","=""1430011""",233,190,81.5
"Trumbull School District","=""1440011""",535,519,97.0
"Unified School District #1","=""3360015""",510,13,2.5
"Unified School District #2","=""3470015""",17,"*","*"
"Vernon School District","=""1460011""",210,179,85.2
"Wallingford School District","=""1480011""",462,432,93.5
"Waterbury School District","=""1510011""",1226,1007,82.1
"Waterford School District","=""1520011""",201,190,94.5
"Watertown School District","=""1530011""",219,190,86.8
"West Hartford School District","=""1550011""",775,730,94.2
"West Haven School District","=""1560011""",444,369,83.1
"Westbrook School District","=""1540011""",61,53,86.9
"Weston School District","=""1570011""",210,205,97.6
"Westport School District","=""1580011""",479,475,99.2
"Wethersfield School District","=""1590011""",300,281,93.7
"Wilton School District","=""1610011""",314,307,97.8
"Windham School District","=""1630011""",171,129,75.4
"Windsor Locks School District","=""1650011""",122,111,91.0
"Windsor School District","=""1640011""",290,253,87.2
"Wolcott School District","=""1660011""",209,204,97.6

