"Four-Year Graduation Rates, 2013-14"
"All Districts, All Students"

"",,"Graduates",,"Non-Graduates",,,
"Ellington School District",194,185,95.4,"*","*","*","*"
"Elm City College Preparatory School District",24,15,62.5,"*","*","*","*"
"Enfield School District",424,366,86.3,21,5.0,37,8.7
"Explorations District",27,18,66.7,"*","*","*","*"
"Fairfield School District",728,683,93.8,27,3.7,18,2.5
"Farmington School District",344,328,95.3,"*","*","*","*"
"Glastonbury School District",585,562,96.1,17,2.9,6,1.0
"Granby School District",205,194,94.6,"*","*","*","*"
"Greenwich School District",670,637,95.1,25,3.7,8,1.2
"Griswold School District",170,144,84.7,10,5.9,16,9.4
"Groton School District",317,269,84.9,11,3.5,37,11.7
"Guilford School District",286,265,92.7,12,4.2,9,3.1
"Hamden School District",458,408,89.1,34,7.4,16,3.5
"Hartford School District",1370,980,71.5,174,12.7,216,15.8
"Killingly School District",218,176,80.7,19,8.7,23,10.6
"Learn",153,141,92.2,"*","*","*","*"
"Lebanon School District",105,98,93.3,"*","*","*","*"
"Ledyard School District",247,224,90.7,14,5.7,9,3.6
"Lisbon School District","*","*","*","*","*","*","*"
"Litchfield School District",69,64,92.8,"*","*","*","*"
"Madison School District",320,310,96.9,"*","*","*","*"
"Manchester School District",454,373,82.2,38,8.4,43,9.5
"Meriden School District",615,468,76.1,50,8.1,97,15.8
"Middletown School District",334,276,82.6,36,10.8,22,6.6
"Milford School District",508,468,92.1,25,4.9,15,3.0
"Monroe School District",300,289,96.3,"*","*","*","*"
"Montville School District",193,171,88.6,7,3.6,15,7.8
"Naugatuck School District",333,273,82.0,23,6.9,37,11.1
"New Britain School District",656,417,63.6,117,17.8,122,18.6
"New Canaan School District",312,307,98.4,"*","*","*","*"
"New Fairfield School District",239,231,96.7,"*","*","*","*"
"New Haven School District",1309,988,75.5,104,7.9,217,16.6
"New London School District",228,162,71.1,23,10.1,43,18.9
"New Milford School District",383,344,89.8,14,3.7,25,6.5
"Newington School District",364,338,92.9,18,4.9,8,2.2
"Newtown School District",423,409,96.7,"*","*","*","*"
"North Branford School District",150,136,90.7,"*","*","*","*"
"North Haven School District",320,283,88.4,17,5.3,20,6.3
"North Stonington School District",56,54,96.4,"*","*","*","*"
"Norwalk School District",822,689,83.8,82,10.0,51,6.2
"Norwich Free Academy District",613,533,86.9,17,2.8,63,10.3
"Old Saybrook School District",137,126,92.0,"*","*","*","*"
"Oxford School District",174,168,96.6,"*","*","*","*"
"Plainfield School District",174,145,83.3,11,6.3,17,9.8
"Plainville School District",176,156,88.6,10,5.7,10,5.7
"Plymouth School District",139,121,87.1,11,7.9,7,5.0
"Portland School District",112,104,92.9,"*","*","*","*"
"Putnam School District",66,56,84.8,"*","*","*","*"
"Regional School District 01",121,108,89.3,6,5.0,7,5.8
"Regional School District 04",136,133,97.8,"*","*","*","*"
"Regional School District 05",420,404,96.2,"*","*","*","*"
"Regional School District 06",93,87,93.5,"*","*","*","*"
"Regional School District 07",211,195,92.4,"*","*","*","*"
"Regional School District 08",297,276,92.9,"*","*","*","*"
"Regional School District 09",252,242,96.0,"*","*","*","*"
"Regional School District 10",218,206,94.5,6,2.8,6,2.8
"Regional School District 11",40,37,92.5,"*","*","*","*"
"Regional School District 12",81,76,93.8,"*","*","*","*"
"Regional School District 13",134,125,93.3,"*","*","*","*"
"Regional School District 14",211,204,96.7,"*","*","*","*"
"Regional School District 15",329,318,96.7,"*","*","*","*"
"Regional School District 16",181,168,92.8,"*","*","*","*"
"Regional School District 17",153,150,98.0,"*","*","*","*"
"Regional School District 18",108,105,97.2,"*","*","*","*"
"Regional School District 19",293,273,93.2,14,4.8,6,2.0
"Ridgefield School District",459,448,97.6,"*","*","*","*"
"Rocky Hill School District",183,168,91.8,"*","*","*","*"
"Seymour School District",138,120,87.0,8,5.8,10,7.2
"Shelton School District",369,337,91.3,17,4.6,15,4.1
"Simsbury School District",400,378,94.5,13,3.3,9,2.3
"Somers School District",131,127,96.9,"*","*","*","*"
"South Windsor School District",348,326,93.7,16,4.6,6,1.7
"Southington School District",512,478,93.4,25,4.9,9,1.8
"Stafford School District",142,132,93.0,"*","*","*","*"
"Stamford Academy District",57,14,24.6,32,56.1,11,19.3
"Stamford School District",1200,1067,88.9,73,6.1,60,5.0
"Stonington School District",177,165,93.2,"*","*","*","*"
"Stratford School District",646,594,92.0,31,4.8,21,3.3
"Suffield School District",214,204,95.3,"*","*","*","*"
"The Bridge Academy District",34,30,88.2,"*","*","*","*"
"The Gilbert School District",90,79,87.8,"*","*","*","*"
"Thomaston School District",72,67,93.1,"*","*","*","*"
"Thompson School District",86,78,90.7,"*","*","*","*"
"Tolland School District",229,209,91.3,"*","*","*","*"
"Torrington School District",272,228,83.8,21,7.7,23,8.5
"Trumbull School District",555,533,96.0,15,2.7,7,1.3
"Unified School District #1",327,"*","*","*","*",245,74.9
"Unified School District #2",65,18,27.7,13,20.0,34,52.3
"Vernon School District",299,246,82.3,23,7.7,30,10.0
"Wallingford School District",490,448,91.4,18,3.7,24,4.9
"Waterbury School District",1350,916,67.9,78,5.8,356,26.4
"Waterford School District",203,187,92.1,"*","*","*","*"
"Watertown School District",230,211,91.7,11,4.8,8,3.5
"West Hartford School District",741,697,94.1,26,3.5,18,2.4
"West Haven School District",424,312,73.6,40,9.4,72,17.0
"Westbrook School District",72,69,95.8,"*","*","*","*"
"Weston School District",180,175,97.2,"*","*","*","*"
"Westport School District",452,442,97.8,"*","*","*","*"
"Wethersfield School District",307,282,91.9,14,4.6,11,3.6
"Wilton School District",301,292,97.0,"*","*","*","*"
"Windham School District",183,134,73.2,9,4.9,40,21.9
"Windsor Locks School District",138,126,91.3,"*","*","*","*"
"Windsor School District",298,266,89.3,20,6.7,11,3.7
"Wolcott School District",245,233,95.1,"*","*","*","*"
"Woodstock Academy District",278,265,95.3,7,2.5,6,2.2

