"Four-Year Graduation Rates, 2012-13"
"All Districts, All Students"

"",,"Graduates",,"Non-Graduates",,,
"West Haven School District",439,306,69.7,34,7.7,99,22.6
"Westbrook School District",78,75,96.2,"*","*","*","*"
"Weston School District",208,206,99.0,"*","*","*","*"
"Westport School District",466,460,98.7,"*","*","*","*"
"Wethersfield School District",270,244,90.4,14,5.2,12,4.4
"Wilton School District",326,313,96.0,"*","*","*","*"
"Windham School District",198,149,75.3,20,10.1,29,14.6
"Windsor Locks School District",140,127,90.7,"*","*","*","*"
"Windsor School District",355,289,81.4,35,9.9,31,8.7
"Wolcott School District",221,208,94.1,6,2.7,7,3.2
"Woodstock Academy District",284,270,95.1,"*","*","*","*"

