"Four-Year Graduation Rates, 2014-15"
"All Districts, All Students"

"",,"Graduates",,"Non-Graduates",,,
"Ledyard School District",233,216,92.7,"*","*","*","*"
"Litchfield School District",70,70,100.0,"*","*","*","*"
"Madison School District",309,305,98.7,"*","*","*","*"
"Manchester School District",454,367,80.8,29,6.4,58,12.8
"Meriden School District",626,463,74.0,49,7.8,114,18.2
"Middletown School District",315,278,88.3,24,7.6,13,4.1
"Milford School District",459,417,90.8,27,5.9,15,3.3
"Monroe School District",321,313,97.5,"*","*","*","*"
"Montville School District",179,167,93.3,"*","*","*","*"
"Naugatuck School District",337,288,85.5,17,5.0,32,9.5
"New Britain School District",660,453,68.6,72,10.9,135,20.5
"New Canaan School District",307,304,99.0,"*","*","*","*"
"New Fairfield School District",264,261,98.9,"*","*","*","*"
"New Haven School District",1485,1115,75.1,119,8.0,251,16.9
"New London School District",202,149,73.8,18,8.9,35,17.3
"New Milford School District",371,335,90.3,13,3.5,23,6.2
"Newington School District",358,332,92.7,9,2.5,17,4.7
"Newtown School District",453,432,95.4,15,3.3,6,1.3
"North Branford School District",166,155,93.4,"*","*","*","*"
"North Haven School District",296,270,91.2,14,4.7,12,4.1
"North Stonington School District",51,47,92.2,"*","*","*","*"
"Norwalk School District",876,785,89.6,25,2.9,66,7.5
"Norwich Free Academy District",590,517,87.6,8,1.4,64,10.8
"Old Saybrook School District",126,120,95.2,"*","*","*","*"
"Oxford School District",125,116,92.8,"*","*","*","*"
"Plainfield School District",168,137,81.5,13,7.7,18,10.7
"Plainville School District",182,162,89.0,"*","*","*","*"
"Plymouth School District",121,106,87.6,"*","*","*","*"
"Portland School District",92,83,90.2,"*","*","*","*"
"Putnam School District",65,56,86.2,"*","*","*","*"
"Regional School District 01",87,82,94.3,"*","*","*","*"
"Regional School District 04",182,176,96.7,"*","*","*","*"
"Regional School District 05",417,402,96.4,7,1.7,8,1.9
"Regional School District 06",87,83,95.4,"*","*","*","*"
"Regional School District 07",143,139,97.2,"*","*","*","*"
"Regional School District 08",269,249,92.6,12,4.5,8,3.0
"Regional School District 09",256,246,96.1,"*","*","*","*"
"Regional School District 10",191,183,95.8,"*","*","*","*"
"Regional School District 11",51,50,98.0,"*","*","*","*"
"Regional School District 12",72,70,97.2,"*","*","*","*"
"Regional School District 13",154,141,91.6,"*","*","*","*"
"Regional School District 14",189,186,98.4,"*","*","*","*"
"Regional School District 15",293,278,94.9,"*","*","*","*"
"Regional School District 16",167,158,94.6,"*","*","*","*"
"Regional School District 17",168,162,96.4,"*","*","*","*"
"Regional School District 18",89,84,94.4,"*","*","*","*"
"Regional School District 19",292,267,91.4,17,5.8,8,2.7
"Ridgefield School District",446,429,96.2,10,2.2,7,1.6
"Rocky Hill School District",196,181,92.3,"*","*","*","*"
"Seymour School District",148,132,89.2,6,4.1,10,6.8
"Shelton School District",370,348,94.1,11,3.0,11,3.0
"Simsbury School District",382,364,95.3,"*","*","*","*"
"Somers School District",130,122,93.8,"*","*","*","*"
"South Windsor School District",355,328,92.4,12,3.4,15,4.2
"Southington School District",519,482,92.9,21,4.0,16,3.1
"Stafford School District",92,85,92.4,"*","*","*","*"
"Stamford Academy District",48,16,33.3,15,31.3,17,35.4
"Stamford School District",1217,1064,87.4,66,5.4,85,7.0
"Stonington School District",200,181,90.5,"*","*","*","*"
"Stratford School District",535,490,91.6,21,3.9,24,4.5
"Suffield School District",212,203,95.8,"*","*","*","*"
"The Bridge Academy District",32,28,87.5,"*","*","*","*"
"The Gilbert School District",90,81,90.0,"*","*","*","*"
"Thomaston School District",63,61,96.8,"*","*","*","*"
"Thompson School District",70,65,92.9,"*","*","*","*"
"Tolland School District",212,201,94.8,"*","*","*","*"
"Torrington School District",282,236,83.7,20,7.1,26,9.2
"Trumbull School District",534,524,98.1,"*","*","*","*"
"Unified School District #1",412,10,2.4,72,17.5,330,80.1
"Unified School District #2",42,"*","*","*","*",28,66.7
"Vernon School District",244,206,84.4,9,3.7,28,11.5
"Wallingford School District",502,468,93.2,12,2.4,22,4.4
"Waterbury School District",1344,930,69.2,72,5.4,341,25.4
"Waterford School District",216,201,93.1,"*","*","*","*"
"Watertown School District",205,181,88.3,13,6.3,11,5.4
"West Hartford School District",738,688,93.2,28,3.8,22,3.0
"West Haven School District",424,329,77.6,19,4.5,76,17.9
"Westbrook School District",78,76,97.4,"*","*","*","*"
"Weston School District",167,161,96.4,"*","*","*","*"
"Westport School District",462,456,98.7,"*","*","*","*"
"Wethersfield School District",284,258,90.8,15,5.3,11,3.9
"Wilton School District",330,317,96.1,"*","*","*","*"
"Windham School District",130,105,80.8,9,6.9,16,12.3
"Windsor Locks School District",131,114,87.0,8,6.1,9,6.9
"Windsor School District",310,273,88.1,21,6.8,16,5.2
"Wolcott School District",180,174,96.7,"*","*","*","*"
"Woodstock Academy District",286,282,98.6,"*","*","*","*"

