"Four-Year Graduation Rates, 2015-16"
"All Districts, All Students"

"",,,"Graduates",
"Suffield School District","=""1390011""",210,197,93.8
"The Bridge Academy District","=""2690013""",34,27,79.4
"The Gilbert School District","=""9020022""",101,85,84.2
"Thomaston School District","=""1400011""",52,51,98.1
"Thompson School District","=""1410011""",74,"*","*"
"Tolland School District","=""1420011""",217,205,94.5
"Torrington School District","=""1430011""",289,236,81.7
"Trumbull School District","=""1440011""",536,526,98.1
"Unified School District #1","=""3360015""",341,6,1.8
"Unified School District #2","=""3470015""",49,13,26.5
"Vernon School District","=""1460011""",208,158,76.0
"Wallingford School District","=""1480011""",557,508,91.2
"Waterbury School District","=""1510011""",1282,940,73.3
"Waterford School District","=""1520011""",187,174,93.0
"Watertown School District","=""1530011""",227,218,96.0
"West Hartford School District","=""1550011""",775,728,93.9
"West Haven School District","=""1560011""",465,360,77.4
"Westbrook School District","=""1540011""",63,59,93.7
"Weston School District","=""1570011""",204,"*","*"
"Westport School District","=""1580011""",480,469,97.7
"Wethersfield School District","=""1590011""",311,291,93.6
"Wilton School District","=""1610011""",342,332,97.1
"Windham School District","=""1630011""",150,119,79.3
"Windsor Locks School District","=""1650011""",144,125,86.8
"Windsor School District","=""1640011""",275,237,86.2
"Wolcott School District","=""1660011""",219,205,93.6
"Woodstock Academy District","=""9030022""",244,240,98.4

