"Four-Year Graduation Rates, 2017-18"
"All Districts, All Students"

"",,,"Non-Graduates",,,
"Guilford School District","=""0600011""",297,7,2.4,"*","*"
"Hamden School District","=""0620011""",433,29,6.7,29,6.7
"Hartford School District","=""0640011""",1316,120,9.1,265,20.1
"Highville Charter School District","=""2860013""",21,0,0.0,0,0.0
"Jumoke Academy District","=""2610013""",14,0,"*",9,"*"
"Killingly School District","=""0690011""",200,15,7.5,14,7.0
"Learn","=""2450014""",196,13,6.6,7,3.6
"Lebanon School District","=""0710011""",89,"*","*","*","*"
"Ledyard School District","=""0720011""",195,6,3.1,7,3.6
"Litchfield School District","=""0740011""",64,0,0.0,"*","*"
"Madison School District","=""0760011""",292,6,2.1,"*","*"
"Manchester School District","=""0770011""",410,46,11.2,27,6.6
"Meriden School District","=""0800011""",626,53,8.5,81,12.9
"Middletown School District","=""0830011""",329,21,6.4,11,3.3
"Milford School District","=""0840011""",437,19,4.3,11,2.5
"Monroe School District","=""0850011""",307,12,3.9,"*","*"
"Montville School District","=""0860011""",181,8,4.4,8,4.4
"Naugatuck School District","=""0880011""",316,25,7.9,19,6.0
"New Britain School District","=""0890011""",627,68,10.8,99,15.8
"New Canaan School District","=""0900011""",314,6,1.9,0,0.0
"New Fairfield School District","=""0910011""",206,"*","*","*","*"
"New Haven School District","=""0930011""",1528,127,8.3,196,12.8
"New London School District","=""0950011""",261,14,5.4,34,13.0
"New Milford School District","=""0960011""",355,"*","*",26,7.3
"Newington School District","=""0940011""",303,6,2.0,9,3.0
"Newtown School District","=""0970011""",424,10,2.4,"*","*"
"North Branford School District","=""0990011""",151,"*","*","*","*"
"North Haven School District","=""1010011""",253,16,6.3,6,2.4
"North Stonington School District","=""1020011""",45,"*","*","*","*"
"Norwalk School District","=""1030011""",893,32,3.6,42,4.7
"Norwich Free Academy District","=""9010022""",599,23,3.8,60,10.0
"Old Saybrook School District","=""1060011""",110,"*","*",0,0.0
"Oxford School District","=""1080011""",139,"*","*","*","*"
"Path Academy District","=""2930013""",47,11,23.4,30,63.8
"Plainfield School District","=""1090011""",172,"*","*",22,12.8
"Plainville School District","=""1100011""",172,8,4.7,10,5.8
"Plymouth School District","=""1110011""",132,7,5.3,"*","*"
"Portland School District","=""1130011""",85,"*","*","*","*"
"Putnam School District","=""1160011""",71,"*","*","*","*"
"Regional School District 01","=""2010012""",92,"*","*","*","*"
"Regional School District 04","=""2040012""",156,"*","*","*","*"
"Regional School District 05","=""2050012""",365,10,2.7,7,1.9
"Regional School District 06","=""2060012""",108,"*","*","*","*"
"Regional School District 07","=""2070012""",165,"*","*",0,0.0
"Regional School District 08","=""2080012""",273,12,4.4,"*","*"
"Regional School District 09","=""2090012""",235,6,2.6,"*","*"
"Regional School District 10","=""2100012""",202,"*","*","*","*"
"Regional School District 11","=""2110012""",34,"*","*","*","*"
"Regional School District 12","=""2120012""",65,"*","*","*","*"
"Regional School District 13","=""2130012""",134,7,5.2,"*","*"
"Regional School District 14","=""2140012""",191,"*","*","*","*"
"Regional School District 15","=""2150012""",292,14,4.8,"*","*"
"Regional School District 16","=""2160012""",171,"*","*",0,0.0
"Regional School District 17","=""2170012""",168,"*","*",6,3.6
"Regional School District 18","=""2180012""",118,"*","*","*","*"
"Regional School District 19","=""2190012""",308,18,5.8,6,1.9
"Ridgefield School District","=""1180011""",427,15,3.5,"*","*"
"Rocky Hill School District","=""1190011""",179,"*","*","*","*"
"Seymour School District","=""1240011""",158,7,4.4,"*","*"
"Shelton School District","=""1260011""",359,17,4.7,19,5.3
"Simsbury School District","=""1280011""",344,19,5.5,"*","*"
"Somers School District","=""1290011""",117,"*","*","*","*"
"South Windsor School District","=""1320011""",347,15,4.3,"*","*"
"Southington School District","=""1310011""",542,25,4.6,7,1.3
"Stafford School District","=""1340011""",98,6,6.1,"*","*"
"Stamford Academy District","=""2820013""",66,24,36.4,12,18.2
"Stamford School District","=""1350011""",1179,58,4.9,90,7.6
"Stonington School District","=""1370011""",178,6,3.4,"*","*"
"Stratford School District","=""1380011""",540,22,4.1,20,3.7
"Suffield School District","=""1390011""",191,"*","*","*","*"
"The Bridge Academy District","=""2690013""",41,"*","*",6,14.6
"The Gilbert School District","=""9020022""",92,"*","*",10,10.9
"The Woodstock Academy District","=""9030022""",253,0,0.0,"*","*"
"Thomaston School District","=""1400011""",58,0,0.0,"*","*"
"Thompson School District","=""1410011""",68,6,8.8,6,8.8
"Tolland School District","=""1420011""",221,12,5.4,"*","*"
"Torrington School District","=""1430011""",239,17,7.1,24,10.0
"Trumbull School District","=""1440011""",570,10,1.8,8,1.4
"Unified School District #1","=""3360015""",433,42,9.7,383,88.5
"Unified School District #2","=""3470015""",25,"*","*",18,72.0
"Vernon School District","=""1460011""",220,9,4.1,39,17.7
"Wallingford School District","=""1480011""",467,13,2.8,18,3.9
"Waterbury School District","=""1510011""",1343,79,5.9,234,17.4
"Waterford School District","=""1520011""",208,9,4.3,9,4.3
"Watertown School District","=""1530011""",218,10,4.6,8,3.7
"West Hartford School District","=""1550011""",751,41,5.5,10,1.3
"West Haven School District","=""1560011""",416,26,6.3,48,11.5
"Westbrook School District","=""1540011""",90,"*","*","*","*"
"Weston School District","=""1570011""",205,"*","*","*","*"
"Westport School District","=""1580011""",456,"*","*","*","*"
"Wethersfield School District","=""1590011""",314,10,3.2,9,2.9
"Wilton School District","=""1610011""",329,8,2.4,0,0.0
"Windham School District","=""1630011""",162,11,6.8,13,8.0
"Windsor Locks School District","=""1650011""",122,11,9.0,"*","*"
"Windsor School District","=""1640011""",310,26,8.4,8,2.6
"Wolcott School District","=""1660011""",182,"*","*","*","*"

