"Four-Year Graduation Rates, 2011-12"
"All Districts, All Students"

"",,"Graduates",,"Non-Graduates",,,
"Hartford School District",1396,902,64.6,244,17.5,250,17.9
"Killingly School District",191,147,77.0,15,7.9,29,15.2
"Lebanon School District",132,116,87.9,"*","*","*","*"
"Ledyard School District",212,194,91.5,"*","*","*","*"
"Lisbon School District","*","*","*","*","*","*","*"
"Litchfield School District",103,100,97.1,"*","*","*","*"
"Madison School District",335,324,96.7,"*","*","*","*"
"Manchester School District",518,379,73.2,50,9.7,89,17.2
"Meriden School District",627,436,69.5,51,8.1,140,22.3
"Middletown School District",347,264,76.1,33,9.5,50,14.4
"Milford School District",515,443,86.0,46,8.9,26,5.0
"Monroe School District",339,334,98.5,"*","*","*","*"
"Montville School District",223,193,86.5,"*","*","*","*"
"Naugatuck School District",368,310,84.2,16,4.3,42,11.4
"New Britain School District",664,402,60.5,92,13.9,170,25.6
"New Canaan School District",329,319,97.0,"*","*","*","*"
"New Fairfield School District",232,227,97.8,"*","*","*","*"
"New Haven School District",1332,944,70.9,112,8.4,276,20.7
"New London School District",239,148,61.9,37,15.5,54,22.6
"New Milford School District",390,352,90.3,16,4.1,22,5.6
"Newington School District",338,301,89.1,17,5.0,20,5.9
"Newtown School District",406,385,94.8,9,2.2,12,3.0
"North Branford School District",162,148,91.4,"*","*","*","*"
"North Haven School District",292,270,92.5,11,3.8,11,3.8
"North Stonington School District",54,47,87.0,"*","*","*","*"
"Norwalk School District",873,741,84.9,36,4.1,96,11.0
"Norwich Free Academy District",645,555,86.0,8,1.2,81,12.6
"Norwich School District",67,15,22.4,18,26.9,34,50.7
"Old Saybrook School District",144,138,95.8,"*","*","*","*"
"Oxford School District",146,134,91.8,"*","*","*","*"
"Plainfield School District",203,173,85.2,13,6.4,17,8.4
"Plainville School District",207,192,92.8,6,2.9,9,4.3
"Plymouth School District",139,117,84.2,11,7.9,11,7.9
"Portland School District",92,84,91.3,"*","*","*","*"
"Putnam School District",65,53,81.5,"*","*","*","*"
"Regional School District 01",140,132,94.3,"*","*","*","*"
"Regional School District 04",160,147,91.9,"*","*","*","*"
"Regional School District 05",434,418,96.3,"*","*","*","*"
"Regional School District 06",87,84,96.6,"*","*","*","*"
"Regional School District 07",205,191,93.2,8,3.9,6,2.9
"Regional School District 08",296,268,90.5,15,5.1,13,4.4
"Regional School District 09",238,231,97.1,"*","*","*","*"
"Regional School District 10",230,221,96.1,"*","*","*","*"
"Regional School District 11",42,40,95.2,"*","*","*","*"
"Regional School District 12",74,63,85.1,"*","*","*","*"
"Regional School District 13",142,138,97.2,"*","*","*","*"
"Regional School District 14",195,189,96.9,"*","*","*","*"
"Regional School District 15",329,308,93.6,13,4.0,8,2.4
"Regional School District 16",197,181,91.9,6,3.0,10,5.1
"Regional School District 17",190,178,93.7,"*","*","*","*"
"Regional School District 18",104,101,97.1,"*","*","*","*"
"Regional School District 19",298,260,87.2,20,6.7,18,6.0
"Ridgefield School District",443,435,98.2,"*","*","*","*"
"Rocky Hill School District",208,191,91.8,8,3.8,9,4.3
"Seymour School District",154,134,87.0,10,6.5,10,6.5
"Shelton School District",428,391,91.4,15,3.5,22,5.1
"Simsbury School District",407,389,95.6,"*","*","*","*"
"Somers School District",142,136,95.8,"*","*","*","*"
"South Windsor School District",386,362,93.8,17,4.4,7,1.8
"Southington School District",498,456,91.6,29,5.8,13,2.6
"Stafford School District",142,125,88.0,"*","*","*","*"
"Stamford Academy District",36,16,44.4,12,33.3,8,22.2
"Stamford School District",1186,1011,85.2,69,5.8,106,8.9
"Stonington School District",182,168,92.3,"*","*","*","*"
"Stratford School District",585,506,86.5,29,5.0,50,8.5
"Suffield School District",207,188,90.8,6,2.9,13,6.3
"The Bridge Academy District",42,32,76.2,"*","*","*","*"
"The Gilbert School District",91,83,91.2,"*","*","*","*"
"Thomaston School District",92,84,91.3,"*","*","*","*"
"Thompson School District",101,86,85.1,"*","*","*","*"
"Tolland School District",230,222,96.5,"*","*","*","*"
"Torrington School District",301,240,79.7,16,5.3,45,15.0
"Trumbull School District",543,528,97.2,6,1.1,9,1.7
"Unified School District #1",531,6,1.1,149,28.1,373,70.2
"Unified School District #2",59,12,20.3,8,13.6,39,66.1
"Vernon School District",266,218,82.0,16,6.0,32,12.0
"Wallingford School District",537,496,92.4,17,3.2,24,4.5
"Waterbury School District",1276,799,62.6,72,5.6,405,31.7
"Waterford School District",241,221,91.7,7,2.9,13,5.4
"Watertown School District",232,211,90.9,11,4.7,10,4.3
"West Hartford School District",753,698,92.7,28,3.7,27,3.6
"West Haven School District",391,282,72.1,17,4.3,92,23.5
"Westbrook School District",82,75,91.5,"*","*","*","*"
"Weston School District",191,190,99.5,"*","*","*","*"
"Westport School District",429,420,97.9,"*","*","*","*"
"Wethersfield School District",292,264,90.4,12,4.1,16,5.5
"Wilton School District",313,307,98.1,"*","*","*","*"
"Windham School District",181,127,70.2,19,10.5,35,19.3
"Windsor Locks School District",148,135,91.2,"*","*","*","*"
"Windsor School District",321,273,85.0,20,6.2,28,8.7
"Wolcott School District",219,205,93.6,7,3.2,7,3.2
"Woodstock Academy District",285,272,95.4,"*","*","*","*"

