"Four-Year Graduation Rates, 2010-11"
"All Districts, All Students"

"",,"Graduates",,"Non-Graduates",,,
"Regional School District 15",390,357,91.5,16,4.1,16,4.1
"Regional School District 16",196,173,88.3,11,5.6,12,6.1
"Regional School District 17",181,168,92.8,"*","*","*","*"
"Regional School District 18",135,131,97.0,"*","*","*","*"
"Regional School District 19",284,235,82.7,26,9.2,23,8.1
"Ridgefield School District",434,417,96.1,11,2.5,6,1.4
"Rocky Hill School District",177,161,91.0,"*","*","*","*"
"Seymour School District",189,157,83.1,10,5.3,22,11.6
"Shelton School District",401,352,87.8,25,6.2,24,6.0
"Simsbury School District",358,340,95.0,11,3.1,7,2.0
"Somers School District",145,137,94.5,"*","*","*","*"
"South Windsor School District",425,386,90.8,16,3.8,23,5.4
"Southington School District",547,495,90.5,33,6.0,19,3.5
"Stafford School District",135,102,75.6,16,11.9,17,12.6
"Stamford Academy District",55,20,36.4,23,41.8,12,21.8
"Stamford School District",1189,1014,85.3,92,7.7,83,7.0
"Stonington School District",212,198,93.4,7,3.3,7,3.3
"Stratford School District",581,512,88.1,26,4.5,43,7.4
"Suffield School District",215,204,94.9,"*","*","*","*"
"The Bridge Academy District",28,24,85.7,"*","*","*","*"
"The Gilbert School District",75,58,77.3,8,10.7,9,12.0
"Thomaston School District",105,96,91.4,"*","*","*","*"
"Thompson School District",95,84,88.4,"*","*","*","*"
"Tolland School District",224,207,92.4,"*","*","*","*"
"Torrington School District",283,219,77.4,20,7.1,44,15.5
"Trumbull School District",503,492,97.8,"*","*","*","*"
"Unified School District #1",555,8,1.4,174,31.4,362,65.2
"Unified School District #2",50,15,30.0,20,40.0,15,30.0
"Vernon School District",290,237,81.7,19,6.6,34,11.7
"Wallingford School District",561,488,87.0,29,5.2,44,7.8
"Waterbury School District",1309,860,65.7,63,4.8,386,29.5
"Waterford School District",272,248,91.2,7,2.6,17,6.3
"Watertown School District",248,217,87.5,17,6.9,14,5.6
"West Hartford School District",829,749,90.3,40,4.8,40,4.8
"West Haven School District",460,313,68.0,32,7.0,115,25.0
"Westbrook School District",75,71,94.7,"*","*","*","*"
"Weston School District",195,192,98.5,"*","*","*","*"
"Westport School District",475,459,96.6,10,2.1,6,1.3
"Wethersfield School District",305,278,91.1,12,3.9,15,4.9
"Wilton School District",306,299,97.7,"*","*","*","*"
"Windham School District",267,163,61.0,46,17.2,58,21.7
"Windsor Locks School District",135,115,85.2,12,8.9,8,5.9
"Windsor School District",353,293,83.0,28,7.9,32,9.1
"Wolcott School District",226,209,92.5,8,3.5,9,4.0
"Woodstock Academy District",299,282,94.3,"*","*","*","*"

